state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
TN,1990,4877185,32698,511,2415,9325,20447,213648,61646,124127,27875,1828,6.704277159878085,0.10477355277685796,0.49516268093172594,1.9119635609475547,4.1923773652219465,43.80559687606683,12.639668169241068,25.450541654663496,5.715387052162261,0.3748063688377619
TN,1991,4953000,35955,547,2299,10543,22566,229856,67608,131855,30393,1802,7.25923682616596,0.11043811831213406,0.464163133454472,2.1286089238845145,4.5560266505148395,46.407429840500704,13.649909145972138,26.621239652735717,6.136281041792853,0.36381990712699375
TN,1992,5024000,37487,520,2377,10964,23626,220534,63665,127934,28935,1511,7.461584394904459,0.1035031847133758,0.47312898089171973,2.1823248407643314,4.702627388535032,43.89609872611465,12.67217356687898,25.464570063694268,5.759355095541402,0.3007563694267516
TN,1993,5099000,39047,521,2544,11224,24758,228117,60299,137683,30135,1404,7.657776034516572,0.1021768974308688,0.4989213571288488,2.201215924691116,4.855461855265738,44.73759560698176,11.825652088644832,27.00196116885664,5.90998234948029,0.27534810747205335
TN,1994,5175000,38705,482,2545,10735,24943,226247,59080,138173,28994,1333,7.479227053140097,0.09314009661835748,0.49178743961352656,2.0743961352657005,4.819903381642512,43.719227053140095,11.416425120772947,26.700096618357488,5.602705314009662,0.25758454106280193
TN,1995,5256000,40549,557,2477,11732,25783,241315,60086,147143,34086,1404,7.714802130898021,0.10597412480974125,0.4712709284627093,2.232115677321157,4.905441400304414,45.912290715372905,11.431887366818874,27.995243531202437,6.485159817351598,0.2671232876712329
TN,1996,5320000,41175,503,2475,11902,26295,248729,61896,152405,34428,1305,7.739661654135339,0.09454887218045113,0.46522556390977443,2.237218045112782,4.942669172932331,46.753571428571426,11.634586466165414,28.647556390977442,6.4714285714285715,0.24530075187969924
TN,1997,5368000,42389,511,3056,11487,27335,253484,62899,156843,33742,1398,7.896609538002981,0.09519374068554397,0.5692995529061102,2.139903129657228,5.092213114754099,47.221311475409834,11.717399403874813,29.218144560357675,6.2857675111773474,0.26043219076005963
TN,1998,5431000,38832,460,2485,9667,26220,234588,58432,148057,28099,1412,7.150064444853618,0.08469895046952679,0.4575584606886393,1.779966856932425,4.8278401767630275,43.19425520162033,10.758976247468238,27.261461977536364,5.173816976615725,0.2599889523108083
TN,1999,5483535,38111,391,2415,8598,26707,219302,51362,142685,25255,1446,6.950078735706073,0.07130436844116067,0.44040933448952185,1.567966649250894,4.870398383524496,39.992814853921786,9.366585605818145,26.02062355761384,4.605605690489803,0.26369850835273234
TN,2000,5689283,40233,410,2186,9465,28172,237985,56344,154111,27530,610,7.071717121472073,0.07206532000605348,0.3842311939834949,1.6636542777007224,4.951766329781802,41.830402882050336,9.903532659563604,27.08794763769002,4.8389225847967134,0.10721913464315275
TN,2001,5749398,42776,423,2196,10219,29938,252992,59705,165015,28272,1731,7.440083292198592,0.07357292015616243,0.3819530323000773,1.777403477720624,5.207153862021728,44.00321564101146,10.384565479725007,28.701265767302942,4.917384393983509,0.30107499950429595
TN,2002,5789796,41562,420,2290,9413,29439,249399,61248,161610,26541,1551,7.1784912629046,0.07254141596698743,0.3955234346771458,1.6257913059458398,5.084635106314626,43.07561095416833,10.57861105987154,27.91290055815438,4.584099336142413,0.26788508610666073
TN,2003,5845208,40409,396,2129,9413,28471,256565,63323,166769,26473,1569,6.9131842699181965,0.06774780298665163,0.3642299812085387,1.6103789634175552,4.870827522305452,43.89321988199565,10.833318506373084,28.530892313840674,4.529009061781891,0.26842500728802127
TN,2004,5893298,41113,357,2282,8863,29611,254991,60386,169828,24777,1503,6.976229608616432,0.06057728626653531,0.3872195161351081,1.503911731597486,5.024521074617303,43.267963031905055,10.246554645633056,28.817141098244143,4.204267288027858,0.25503546571037133
TN,2005,5955745,45104,431,2194,10009,32470,256093,61508,169357,25228,1466,7.573191934846102,0.07236710100919365,0.36838380420921313,1.6805622134594413,5.4518788161682545,42.999322502894266,10.327507305970958,28.435905163837607,4.235910033085702,0.2461488864953083
TN,2006,6038803,46043,419,2194,11143,32287,249860,63024,164183,22653,1413,7.624524264162948,0.06938461148674663,0.3633170348494561,1.8452332357919277,5.346589382034817,41.37574946558118,10.436505380288114,27.188003980259,3.7512401050340607,0.23398676856986395
TN,2007,6156719,46482,405,2201,11033,32843,252342,61817,168807,21718,1320,7.549800470023076,0.06578179059333389,0.35749560764426636,1.7920259151018587,5.334497156683617,40.98644099235323,10.040575182983014,27.418337591824475,3.5275282175457416,0.2143999100819771
TN,2008,6214888,44913,412,2078,10804,31619,251089,65093,166793,19203,1279,7.226678903948068,0.06629242554330826,0.3343583987354237,1.7384062271114138,5.087621852557922,40.40121077000905,10.473720524006225,26.837651780691786,3.0898384653110402,0.20579614628614384
TN,2009,6296254,41933,468,2019,9653,29793,237157,63832,158309,15016,1240,6.659991798297845,0.07432991108681448,0.32066686000914196,1.5331338284637184,4.73186119873817,37.66636479405056,10.13809163353321,25.143363021885712,2.3849101386316374,0.1969424994607905
