year,state_abbr,measure_type,violent_crime_1000,property_crime_1000
2000-01-01,NE,historical,3.2759429731140095,37.67918782793761
2001-01-01,NE,historical,3.031326615268607,40.09385833693307
2002-01-01,NE,historical,3.1419964759626855,39.46481866952541
2003-01-01,NE,historical,2.9381717722557164,37.51938876818372
2004-01-01,NE,historical,3.085762806516436,35.19589129509345
2005-01-01,NE,historical,2.873453712767246,34.324462521393066
2006-01-01,NE,historical,2.9389294198880185,33.597216810653656
2007-01-01,NE,historical,3.1128650248426233,31.424496399411463
2008-01-01,NE,historical,3.1231916888336646,28.79279950118648
2009-01-01,NE,historical,2.8937687957212965,27.680326212736247
2010-01-01,NE,historical,2.7828456933099694,26.67936514181148
2011-01-01,NE,historical,2.5360513376693734,27.626240749003657
2012-01-01,NE,historical,2.588190907375967,27.597488344517213
2013-01-01,NE,historical,2.647983995454178,26.32306902896731
2014-01-01,NE,historical,2.7621111217325733,25.239779498454574
2015-01-01,NE,historical,2.728427233579668,22.4932871818837
2016-01-01,NE,historical,2.967598604112071,22.644648807954283
2017-01-01,NE,historical,3.1180005997157867,22.870552651134897
2018-01-01,NE,historical,2.8993349653668905,20.872822902201587
2019-01-01,NE,historical,3.0462011486253284,20.46651843580392
2020-01-01,NE,historical,3.3408135626811566,19.091616637901847
2021-01-01,NE,forecast,2.9250783920288086,22.382312774658203
1979-01-01,NH,historical,1.3990980834272828,44.38895152198422
1980-01-01,NH,historical,1.798471136333469,44.997682550804356
1981-01-01,NH,historical,1.4705882352941178,41.7475935828877
1982-01-01,NH,historical,1.2481598317560465,37.04416403785489
1983-01-01,NH,historical,1.2513034410844628,32.31178310740354
1984-01-01,NH,historical,1.338792221084954,30.03787103377687
1985-01-01,NH,historical,1.407815631262525,31.11122244488978
1986-01-01,NH,historical,1.3953261927945473,31.90555014605648
1987-01-01,NH,historical,1.4957426679280983,32.221381267738884
1988-01-01,NH,historical,1.4785779398359162,31.86052871467639
1989-01-01,NH,historical,1.6847335140018067,34.2773261065944
1990-01-01,NH,historical,1.3153007612336962,35.13719154889962
1991-01-01,NH,historical,1.192760180995475,33.28506787330317
1992-01-01,NH,historical,1.2574257425742574,29.548154815481553
1993-01-01,NH,historical,1.3777777777777778,27.671999999999997
1994-01-01,NH,historical,1.167985927880387,26.24186455584873
1995-01-01,NH,historical,1.1445993031358883,25.40940766550523
1996-01-01,NH,historical,1.1815834767641995,27.053356282271942
1997-01-01,NH,historical,1.1321398124467181,25.26427962489344
1998-01-01,NH,historical,1.0717299578059072,23.12658227848101
1999-01-01,NH,historical,0.9649214825323402,21.851850001748343
2000-01-01,NH,historical,1.7535398523692614,22.57753365064825
2001-01-01,NH,historical,1.7024533909711208,21.510149210828686
2002-01-01,NH,historical,1.6133018938249617,20.597847623008388
2003-01-01,NH,historical,1.5030592726807144,20.529135837914808
2004-01-01,NH,historical,1.6949296050013507,20.519270395152592
2005-01-01,NH,historical,1.3475469824053676,18.388927617367056
2006-01-01,NH,historical,1.3575228440293712,19.819073005829363
2007-01-01,NH,historical,1.4409178099265254,20.058852676793624
2008-01-01,NH,historical,1.5610168345101758,21.573799844810306
2009-01-01,NH,historical,1.6042881679029122,21.73527357831757
2010-01-01,NH,historical,1.6737456590069768,22.197634125578013
2011-01-01,NH,historical,2.173307623954039,24.856447112513443
2012-01-01,NH,historical,2.1496394189844708,24.26875562284686
2013-01-01,NH,historical,2.2319403364241777,22.99155612815813
2014-01-01,NH,historical,1.9766625803089768,19.652167627010922
2015-01-01,NH,historical,2.023891239152221,17.63236301331242
2016-01-01,NH,historical,1.9984794178342564,15.223049928277959
2017-01-01,NH,historical,1.9573748654397387,13.743112700191958
2018-01-01,NH,historical,1.7761818739309847,12.708862068838133
2019-01-01,NH,historical,1.5814424489429983,12.163585229974215
2020-01-01,NH,historical,1.4638341475910779,10.989002945966222
2021-01-01,NH,forecast,1.791731357574463,17.442407608032227
1979-01-01,NJ,historical,5.0118657937806885,53.19394435351882
1980-01-01,NJ,historical,6.0435860599136735,57.969693948541604
1981-01-01,NJ,historical,6.306445074989866,55.49155519524388
1982-01-01,NJ,historical,6.073541274536166,50.68781930626513
1983-01-01,NJ,historical,5.530798071772899,46.102838778789504
1984-01-01,NJ,historical,5.277312042581504,43.27757817697938
1985-01-01,NJ,historical,5.444591377942343,45.49947103940757
1986-01-01,NJ,historical,5.724803149606299,46.68818897637795
1987-01-01,NJ,historical,5.4101929092805,47.204770594369144
1988-01-01,NJ,historical,5.828108808290155,47.12525906735751
1989-01-01,NJ,historical,6.089839710444673,46.604446742502596
1990-01-01,NJ,historical,6.475521682008251,47.996633458332454
1991-01-01,NJ,historical,6.3475515463917525,47.96546391752578
1992-01-01,NJ,historical,6.258184619334958,44.38541532931057
1993-01-01,NJ,historical,6.268562000253838,41.73968777763675
1994-01-01,NJ,historical,6.1417004048583,40.46761133603239
